id;address;category;description;title
1034;Adelaide;Retail & Consumer Products; About Us: Retail SafariÂ as part ofÂ CPM AustraliaÂ is a dynamic and innovative marketing services agency offering our clients effective customer contact through a diverse range of channels including assisted selling, merchandising, sampling and demonstration, local area marketing and brand activation. About the Role: We are currently seeking vibrantÂ TECH SAVVYÂ Brand Ambassadors to promote and represent Microsoft Australia within leading consumer electronics stores. With your outgoing personality, you will be confidently engaging with customers sharing your knowledge and expertise to educate them on the benefits of Microsoft product and drive excitement resulting in sales! Must be available between Thursday to Sunday for shifts Additional hours sometimes available on other days Full training will be provided to support upcoming Microsoft Campaigns Ongoing mentoring by Microsoft Territory Advisor Opportunities to be called on to work at industry and Microsoft arranged events About You: Passionate about consumer electronics and working with high profile brands Experience in retail and/or customer service is an advantage Excellent conversational and interpersonal skills Well presented with a bright and engaging personality Skilled with computers and technology Completed or currently studying IT (not essential but ideal) Reliable and punctual Ability to merchandise and understand briefing material While a car and license is not essential, it is advantageous as you can be considered for a wider area of stores We will be commencing interviews soon so please APPLY ONLINE NOW to avoid missing out! ;Microsoft Brand Ambassador
1035;Cairns & Far North;Education & Training;"Lead Educator Petit Early Learning Journey Port Douglas is a purpose built boutique, 88 place, childcare Centre. We focus on the holistic learning and development of our children. We aspire to provide a safe, caring and stimulating environment that is supportive towards childrenâ€™s social, emotional and cognitive development.Â  Our Educators are Our Ambassadorâ€™s: We place a high value on caring for our early childcare educators and teachers, whose calibre and innate passion for early childhood development, reflect the values of our organization. We aspire to develop our children into happy, secure and inspired young learners. In turn we provide our educators and teachers with dedicated PD opportunities, and hands on mentoring and support.Â  The Role: We would like to invite experienced & dedicated Early Childhood Educators to join our professional, funÂ and committed team, where you will be responsible for the following:Â  Plan and implement developmentally appropriate programs which will enhance children's self-esteem and promote learning and social-emotional development Responsible for the direction and general supervision of other Educators up to this level; Ensure a safe environment is maintained for both Educators and children Ensure that records are maintained accurately for each child in their care; Develop, implement and evaluate daily care routines; Ensure the centres policies and procedures are adhered to; and Liaise with families. The Benefits: Working in Early Childcare requires passion, dedication, maturity and positive energy! We aim to appreciate our educators and teachers on a daily basis, and motivate with gratitude and inspiration. We also: Remunerate on Award in line with experience Child Care Discount Provide ongoing and focused professional development Provide career progression â€“ internal promotions and across centres nationally Supportive management Opportunity to learn from and be guided by an inspiring and experienced Centre Manager Offer a fun and uplifting environment â€“ competitions, team building sessions, etc. Encourage a team focused environment â€“ build life-long and supportive friends and colleagues who aim to support each other. The Requirements Hold a current and up to date Suitability Card issued by the Commission for Children and Young People Experience with within a recognised and accredited Child Care Facility or similar environment will be highly valued Hold a current recognised Senior First Aid Certificate including Asthma and Anaphylactic training (preferred) Diploma in Early Childhood Education If this sounds like the position for you, then apply! Â  Alternatively, please forward your cover letter and current curriculum vitae to: portdouglas@petitjourney.com.au Only short listed candidates will be contacted.Â";****Inspiring Lead Educator****
1036;Newcastle, Maitland & Hunter;Trades & Services; About the business The team at Lambton Automotive are committed to excellence As a Repco Authorised Car Service Centre we provide high quality customer service and superior workmanship, ensuring our customers receive the very best in automotive care About the role This will be a multi skilled positon including: Logbook servicing Air conditioning service & repair Full mechanical repairs Diagnostics, serving & repair of a variety of different makes & model vehicles Performing duties in an efficient & high standard of repair Dealing with customersÂ  and talking on the telephone when asked Skills and experience We are seeking an experienced and enthusiastic trade qualified Motor Mechanic to join our team of hardworking technicians. As part of our team you will: Punctual Well presented Self motivated Computer literate AIS ticket A/C ticket Driver's license (current) Have good communication skills Have a vast mechanical knowledge of different makes & models Have a very high standard of workmanship. ;MOTOR MECHANIC
1037;Sydney;Trades & Services;Programmed SKILLED is a workforce services company. Our people are employed across a wide range of industries. Our client is an international supplier of dairy and food products based in Lidcombe. They have a long term ongoing casual vacancy (38 hours per week) for a Maintenance Reliability Fitter with Australian trade qualifications as a Mechanical Fitter. The successful applicant must have extensive recent experience in high speed liquid filling and packaging processes. The role: Engage in predictive and preventative maintenance activities, continuous improvements whilst mentoring technical skill of operational persons. Analytical, RCA, 5yâ€™s methodology to problem elimination. Perform minor to major overhauls of Separators, Homogenisers, Pasteurisers, Pumps, Valves, Steam, Ammonia and compressed air systems. Work night shift, taking the lead to ensure our customers receive our highest quality products. Enjoy job satisfaction and recognition for your efforts. About you: Positive, enthusiastic, great communicator Creative and opportunistic, decision maker Able to work with minimal supervision whilst in teams Committed to OH&S Conditions Pay rate: $42.35 (including 25% casual loading). The following shift loadings will apply: Night shift 30% shift This is an ongoing casual role on night shift 10 pm-6 am Tuesday to Saturday. There is the possibility of permanent employment after a qualifying period as a casual. Successful applicants must be able to provide SKILLED with original copies of their work rights in Australia such as a valid passport or birth certificate etc. Applicants who are unable to supply original copies of these documents will not be considered for this role. Initial interviews will be held in the Programmed SKILLED offices at Werrington (near St Marys). As one of Australia's largest employers, we work with great companies all around Australia and New Zealand to give you the best opportunities to work when and where you want to. At Programmed, we are committed to creating a safe and inclusive environment which values and respects diverse styles, backgrounds, experiences and perspectives. We welcome and encourage women, people of Aboriginal and Torres Strait Islander descent and people from diverse backgrounds to apply.;Mechanical Fitter $42.35 + 30% shift
1038;Brisbane;Manufacturing, Transport & Logistics; Bull Motor Bodies is an Australian leader in the manufacture of service bodies. We are currently seeking a team orientatedÂ experienced coach/body builder to join ourÂ Qld team, located in the northern suburbs ofÂ Brisbane.Â Reporting to the workshop supervisor you will be responsible for the building of our motor bodies and accessories. Essential criteria: Applicant must have experience asÂ a coach/body builder. Must be experienced with fitting out and finishing vehicles to client specifications. Must be a team player. Able to work competently, unsupervised completing tasks in a timely, professional manner. Demonstrate a neat and organised approach to work procedures. Have excellent communication and interpersonal skills. Be self motivated and dedicated to fulfilling customer requirements. Show a dedicated commitment to safety and Quality Assurance. Employees can expect: Competitive Salary. Offer of full-time employment after a probationary period for candidates demonstrating the appropriate skills, abilities and work ethic. Excellent working conditions. Monday to Friday hours. Opportunity to work with an Australian leader in Service Body manufacture. If you are looking for long term employment with great growth opportunities, please emailÂ a copy of your CVÂ and Â cover letter toÂ  Â  Â  Â  liam @bullmotorbodies.com.au. ;Coach Builder
1039;Perth;Construction;"Our client is a wholly owned subsidiary of an ASX listed, Western Australian based public company with diversified business interests and a long-standing reputation for business excellence. During the past 50 years, the company has developed an enviable reputation Australia wide as an expert in the manufacture of precast concrete products with broad application throughout the commercial construction, civil, government infrastructure, resources, architectural and residential building markets. The company is also recognised for being highly innovative and uses advanced technological processes in the manufacture of its premium quality products. The Position Based on-site in the administration and production facility in a north-eastern suburb of Perth Reports directly to the General Manager and has regular contact with the close-knit Executive Management team Â  The primary point of liaison who co-ordinates construction programmes to deliver a solution to satisfy customer requirements, spending up to 50% of your time off-site Â  Further co-ordination internally with staff in production, drafting, trade sub-contractors, suppliers and despatch and externally with engineers, architects, builders, major contractors and property developers as well as various clients in a broad range of industry sectors The ability to juggle conflicting priorities will be a critical requirement as you will be required to work on (up to) 30 varied projects at any one timeÂ Â  The ultimate aim is to develop and deliver a truly tailored solution to meet customer demandsÂ Â  The Person Experience in the building/construction industry (civil and commercial construction preferably) Specific experience in pre-cast concrete would be a distinct advantage A minimum of 5 years of experience in a similar capacity as either a proven Project Co-ordinator/Manager, Client Co-ordinator/Manager or ContractsÂ Administrator The ability to comprehend sub-contracts and other associated contract documents as well asÂ read and interpret plans/drawings Able to see the ""big picture"" from a concept viewpoint with good abstract reasoning skills Relevant qualifications in Engineering (Civil or Structural) would be advantageous Computer literate â€“ MS Excel and any other project management softwareÂ  Organised and methodical (meetings, deadlines, priorities and scheduling) Attention to detail, conceptual, positive, pro-active, enthusiastic and personableÂ  Applications close Friday 27 April 2018. If youÂ require additional information, please call Chris Meredith at Advocate Executive Search on 0412â€¦show number .";Projects Manager
1040;Melbourne;Information & Communication Technology; We are an award winning and trusted brand for Customer Management Solutions that develop an array of platforms for organisations in both the customer management and business process outsourcing sectors.Â  We are currently seeking to recruit a professional entry level Junior Developer and Helpdesk Support Analyst to join our dynamic IT Team based in the CBD.Â  This is a full time position and you must be eligibleÂ to work in Australia.Â  Reporting to the IT Manager, your primary responsibility will be to work alongside the IT Development and Helpdesk Team. It is essentialÂ to have an expert level understanding of JavaScript, MSSQL, and CSS.Â  Â  Responsibilities: Proficient in Excel andÂ  JavaScript and SQL proficiency is requiredÂ  Efficient in use of net Frameworks is an advantageÂ  Solutions orientated with demonstrated ability in IT analysis, problem solving and resolution skills A demonstrated ability to manage competing prioritiesÂ  Strong technical background with the ability to write clean, easy to read code Microsoft SQL Database KnowledgeÂ  Develop IT documentation to support operational processes as required Incident problem and change management experience within predetermined KPI'sÂ  Â  Key Selection Criteria: Working knowledge of JavaScript, MSSQL, and CSS Strong communication skills including the ability to understand technical problems nd to clearly explain solutions Strong work ethic and positive can-do attitudeÂ  Qualification in Information Technology preferred but not essentialÂ  Acute attention to detail If you have excellent attention to detail then press on the apply button!Â  Â  Â  ;Junior Helpdesk Developer
1041;Perth;Mining, Resources & Energy;"On behalf of our Client, we are seeking Expressions of Interest for qualified Masters who are looking to secure long term work off the coast of Western Australia working onboard an â€˜Infield Supportâ€™ vessel within the Oil and Gas Industry. The following minimum experience and qualifications are essential to the role; Master 3000 near Coastal certification DP Unlimited certification ASD experience Offtake experience Generic ECDIS Ship Security Officer certification Five (5) years offshore experience in a similar role within an offshore marine services company To be considered to the role, successful candidates will need to demonstrate: Experience in vessel manoeuvring skills Sound verbal and written communication skills to enable ideas and opinions to be expressed clearly and effectively, and to enable the preparation of well-structured, accurate and concise documents and reports. Strong interpersonal and influencing skills to gain the acceptance and support of ideas, cooperation and motivation of others, and the ability to modify styles and relationships with internal and external stakeholders. Integrity, judgment and maturity to ensure matters of a confidential or sensitive nature are handled appropriately. Possesses high level leadership, communication and motivational skills and techniques. Ability to lead and foster initiative in others, build and maintain strong relationships with key stakeholders and to resolve conflict constructively. Self-motivated and driven with the ability to prioritise competing work demands simultaneously. Excellent planning and organisation skills. Ability to mentor and lead. Indigenous applicants are encouraged to apply and our Client is an equal opportunity employer.";Marine Crew - Master position
1042;Sydney;Accounting;Insolvency Intermediate or Senior Level Job, CBD Location, CA Firm Your new company Fantastic CA Practice, located in the centre of the CBD is seeking an intermediate/senior level insolvency accountant to join their dynamic and energetic environment. Your new role You will be working on a range of cases and files for the firm, working alongside other intermediates, seniors and managers. Your duties may include planning and control of fieldwork on smaller jobs with the direction of your supervisor, as well as liaising with the legal advisers, creditors, ASIC and other high profile third parties. What you'll need to succeed A small amount of experience within the insolvency industry will be necessary for this role. It would be beneficial to have some exposure to this field or at least in the public practice space. Candidates with strong experience in other Insolvency practices or mid-tier accounting firms will receive immediate attention. Interest in the CA or CPA is also something that will heighten your application. What you'll get in return Competitive salary, exposure to an innovative environment, with great work spaces and social events! If this is what you are looking for in your next insolvency role then get in touch today. What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call Tara O'Regan (02) 8062 6157 or email tara.oregan@hays.com.au. If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career;Insolvency Intermediate/Senior
1043;Brisbane;Human Resources & Recruitment;"Fantastic team culture Great location, free parking and local coffee shops Amazing support and training What does 2018 look like for you?Â  Feel like a change?Â  Then come join our team! Our Business: Quality Assured Recruitment was formed by a team of human resources and recruitment specialists with over 50 plus years of combined experience, to truly add a missing link to the industry.Â  A business that works closely with its clients and candidates, consultants that have food and hospitality industry recruitment experience, and relevant FMCG technical training and knowledge. What sets us apart from industry is that we offer our clients a unique mix of onsite human resources support, outsourced end to end recruitment, and resume design services.Â  We work alongside some of Australiaâ€™s largest food businesses across; beverages, dairy, fresh produce, dry goods, cereals and snack bars, meat processing and ready meals.Â  Our team: You will be joining a passionate team of consultants and administrative staff, who thoroughly enjoy coming to work, sharing ideas and helping each other out.Â  For us, we love what we do, and it shows in the results we achieve.Â  We are not a corporate office, we enjoy being agile, we use up to date technology to ensure a quick turnaround for our clients, and our team are able to make their own decisions. The Role: Due to an increased work load and demand from clients, we are now searching for an additional consultant to join our team across Australia.Â  Based in our head office in Brisbane, Rocklea, you will be working in a close knit team, with a passion for providing exceptional support to our clients and candidates. Â You will look after an existing portfolio of clients, as well as developing new business relationships.Â  This role would be ideally suited to someone who has worked within recruitment, in either a trades or specialist niche area. You: To be successful in the role you will need to demonstrate: A Human Resources or Business Management related degree or similar (preferred but not essential) Experience working in a recruitment environment Demonstrated sales capability, you need to be able to pick up the phone Thorough working knowledge of Microsoft Office and relevant systems A current driverâ€™s licence Excellent communication (oral and written) and presentation skills Ability to multi task and work in a fast-paced environment The ability to work autonomously when required In return, we can offer onsite parking, early finish Fridayâ€™s, a competitive salary and the ability for further training and developmentâ€¦. Not to mention a relaxed fun team environment. Keen to find out more? Please contact Wendy Terry, Director, on 0419 963 163 or email admin@qualityassuredrecruitment.com.au";Recruitment Consultant
1044;Newcastle, Maitland & Hunter;Education & Training;"Position title: Meet with UK Head Teachers in Melbourne this June - Skype for other locations Commencement: September 2018 and January 2019 positions Salary:Â  Negotiable above Main Pay Scale UK App closing date: 30-May -18 Contract Type: Full Time Contract hours: Full Time Locations of positions: Watford, Hertfordshire, UK Cheshunt, Hertfordshire, UK Summary Tradewind are fortunate to have two very well-respected Head Teachers from the UK visiting us here in Melbourne in June 2018 with a view to meeting and interviewing Australian and New Zealand Secondary Teachers for a range of roles and subjects at their wonderful schools. Details Tradewind are fortunate to have two very well-respected Head Teachers from the UK visiting us here in Melbourne in June 2018 with a view to meeting and interviewing Australian and New Zealand Secondary Teachers for a range of roles and subjects at their wonderful schools. If you are a student teacher or fully qualified Teacher (of Secondary subjects) with a view to building on your current experience or developing your career further overseas, then we would love to offer you the chance to interview for a range of Secondary roles and subjects with our UK head teachers. These roles will be to start in either September 2018 or January 2019. Both schools are progressive, well-resourced in very nice areas of Hertfordshire, UK, just North of London. The Head Teachers have had great success with placing Australian and New Zealand trained teachers in their respective schools previously and are very keen to secure top teaching talent whilst they are here visiting Australia to join in their school's success stories. This isÂ a fantastic opportunity for Secondary Teachers to have the chance to meet prospective employers from the comfort of their own country/area! Don't miss out! If you are unable to meet face to face in Melbourne in the first week of June, then Skype/phone interviews may also be an option. Â  Please contact Tradewind via email kangaroo@twrecruitment.com or call Rebecca on 1800 005 321 for more information. Â  Tradewind Recruitment Specialises in Transitioning Overseas Teachers into the UK and offer an outstanding set of benefits and strong support network on arrival into the UK.Â  We have a national footprint including London, St Albans, Chelmsford, Bristol, Birmingham, Nottingham, Manchester, Preston, Sheffield, Hull and Lincolnshire.Â  Tradewind Recruitment works with Primary, Secondary and SEN schools and settings providing teachers and support staff.Â  Last year we found work for nearly 4000 teachers and support staff from the UK and Overseas. Â  Our unrivalled benefits include the following: - Â·Â Â Â  Â Â Â Â Access to over 3,500 vacancies in locations across the UK each year Â·Â Â Â Â Â Â Â  Top rates of pay and guaranteed pay schemes Â·Â Â Â Â Â Â Â  Unrivalled weekly CPD which is accredited within the UK which is free of charge.Â  (Tradewind are the only UK recruitment Agency to offer accredited courses in line with Ofsted requirements). Â·Â Â Â Â Â Â Â  A dedicated Australian and UK consultant to support your transition Â·Â Â Â Â Â Â Â  Relocation packages including flight Reimbursements Â·Â Â Â Â Â Â Â  Visa Assistance Â·Â Â Â Â Â Â Â  Recommended accommodation and advice. Â·Â Â Â Â Â Â Â  Referral Bonuses Â·Â Â Â Â Â Â Â  Assistance setting up a bank account in the UK Â·Â Â Â Â Â Â Â  Regular, fun and inclusive social events Â·Â Â Â Â Â Â Â  Easy to use online portal Â  Tradewind Recruitment is a Sunday Times Top 100 employer â€“ stopping at nothing to ensure our candidates, clients and employees come first. Â  At Tradewind, you will have access to 25 fully certified CPD courses, thatâ€™s 18 more than our next nearest competitor, all focused on making you the best you can be. We have the very best people available to take your call and look after you every step of the way. We pride ourselves on exceptional service and take the time to really get to know you. Put simply; we listen, we learn, we deliver. Why? Because our people matter most. Â  We specialise in matching Teachers and Support Staff to their dream job, and help Primary, Secondary and SEN schools recruit for a wide range of roles across our 11 offices in the UK, including: London, the West Midlands, the North West, East Anglia, the North East, the South West, Yorkshire, the Midlands, Herts and Bucks. Â  Awarded REC Audited Education gold standard - Tradewind Recruitment are committed to Safeguarding and are also a proud Equal Opportunities Employer. Â  Because Education Matters To view all teaching jobs available with Tradewind Recruitment, please visit our website. www.twrecruitment.com Â  Â";Secondary Teachers required for the UK - Interviews to be Conducted in Australia
1045;Sydney;Accounting;Sydney CBD office Great Opportunity for career progression and growth Join a dynamic team The IT Asset & Contracts Manager is an integral role in the management and maintaining of the organisations IT assets and vendor relationships.Â  This role works closely with the Technology and Operations staff to promote a set of business practices that unite financial, contractual and inventory functions to support the life cycle management for the IT environment. Skills & Experience required: 5+ yearsâ€™ experience in an Asset Management, procurement, contract and/or account management position Must be able to develop and maintain an Asset Management Plan aligned to the Corporate Strategy Understanding of financial impacts and risk mitigation in Asset Planning Experience managing procurement resources (offshore) Demonstrated experience of ITIL based Hardware Asset Management standards and best practice Demonstrated experience of the IT Software Asset Management lifecycle Experience working with inventory, financial and service delivery systems Conducting customer facing meetings, delivering presentations to all levels of management Relevant experience in the design, build and implementation of asset management strategies Previous experience driving cost accountability ITIL certification Responsibilities include but not limited to: Manage and maintain inventory of company software, systems and hardware assets via an Asset Management CMDB solution Process the installations, moves, adds and changes data as supplied via the customer/service desk/support and project teams Maintain vendor details in asset register for in-scope assets Maintain Asset Management plans according to agreed criteria Define and maintain the customer escalation matrix as it relates to Asset Management Access customer asset discovery data to perform asset reconciliation and remediation Participating in and driving audit requirements Provide monthly reporting on asset metrics including compliance reporting Vendor engagement and procurement function, working with vendors to ensure optimal outcomes and relationships Manage the end to end IT Procurement process including offshore Procurement staff Develop and monitor service level agreements with vendors that support the delivery of business outcomes Implement and continually improve monitoring and reporting of vendor usage and performance Manage the interaction between vendors and internal technology and program delivery leaders Ensure cost control through finance and invoicing management Creating and maintaining strong relationships with internal clients and the management team by displaying our values and behaviours Clarifying and managing key stakeholder expectations and allocating resources to ensure the delivery of effective outcomes About us: At EML, we're passionate about helping people get their lives back after a workplace injury. We have over 1,500 personal injury specialists Australia wide, focused on achieving industry leading return-to-work outcomes and improving work health and safety for the benefit of workers, employers and the broader community. What we can offer you: We are committed to supporting our hard working people by investing in their professional development, long term career opportunities and providing generous employee benefits. These include â€“ but are not limited to - extensive L&D support for career growth, great work/life balance, social events and lunchtime sports. Other benefits, such as 17.5% annual leave loading and career breaks, are why we are regarded as one of the best employers within the Industry. For over 100 years, the people of NSW have put their trust in EML for their workers compensation. Come and be a part of it! How to apply: If you meet the above criteria and would be interested in joining our team, please apply below with your updated CV and cover letter.Â  Please note that only candidates with Australian/NZ rights will be considered. No agencies please. Â;Asset & Contracts Manager
1046;Sydney;Healthcare & Medical;"Qualitas Health is one of the fastest growing healthcare companies in Australia, integrating general practice and allied health.Â  ROLE OVERVIEW A position has become available for an enthusiastic individual to become an integral part of our Dee Why team to provide a variety of reception and administrative services for our patients and practice. The successful candidate will need to be adaptive and be comfortable working in a dynamic team. You will be the first point of contact for our patients and health professionals, therefore a high level of maturity, professionalism, and sensitivity is required. ESSENTIAL CRITERIA Previous experience working within a healthcare setting Dedicated work ethic and positive ""can do"" approach to tasks Ability to take initiative, work in a team and as an individual High level of organisational skills, time management & prioritisation Accuracy and attention to detail, multi-tasking and efficiency Excellent verbal and written communication skills are required Flexibility of days/hours available to cover sick/holiday leave (including Saturday's & Sunday) DESIRABLE CRITERA Knowledge of Medicare Item numbers and Eftpos/Tyro payment systems and medicare rebates Knowledge of Pracsoft and Medical Director software or similar An understanding of RACGP Accreditation Standards and Infection control Training provided for the right candidate.Â  Current requirement will be 1 -2 shift per week but this will increase due to sick leave and holiday relief. We are a 7 day a week practice so must be able to work weekend and evening shifts. Apply now! Send applications to manager@deewhymedical.com.au Only short listed applicants will be contacted.";Medica Receptionist
1047;Melbourne;Trades & Services; We have an exciting opportunity for a Cleaner Driver to join our team in Tullamarine on a permanent full time basis. In this role you will work unsupervised to a time-based schedule each day maintaining washroom supplies and providing cleaning services. In addition to this, you will be expected to maintain and achieve a high level of quality and customer service. In this role, you would be responsible for servicing our product lines such as: Sanitary & Nappy Units Soap Dispensers Air Fresheners Paper Dispensers Sanitiser SystemsÂ  You would also be responsible for maintaining the general cleanliness of washroom facilities as per customer requirements. To be successful in this role you will have: Cleaning Industry or related industry experience Ability to work to a planned, time-based work schedule A valid Australian Drivers License Good Communication Skills Appreciation for high quality standards with ability to assess from a customer's perspective. Previous experience as an installer /Cleaner would be desirable. As part of the recruitment process, you will be required to complete the pre-employment medical, police and reference checks. As an employee of Rentokil Initial, you will receive a company vehicle, uniform, a great salary and a long term career working with the Experts in Hygiene.Â This is an opportunity not to be missed! What are you waiting for?Â Â  Rentokil Initial operates in Australia under the brands Rentokil, Initial and Ambius. We provide pest control, washroom hygiene and indoor plant services throughout the country. We're focused on providing our customers with responsive, reliable and good value support services. If you think this is the role for you, then click the apply button now to submit your resume! ;Cleaner Driver - Tullamarine
1048;Sydney;Trades & Services;Accelerate your Career... And let your Apprenticeship start here! Turn your passion for cars into a career! Are you someone who likes to tinker with cars or sell parts. Opportunities existing in our dealerships - VW and Subaru North Shore 2 year apprenticeship Accelerated on the job learning As an employee you receive employee benefits including joining our leased car program, discounted health insurance, shopping vouchers, reward and recognition programs etc., On-going employment at the completion of your apprenticeship, You are an employee....as an Trivett Apprentice you are employed by US - no third parties! We provide financial assistance so you can build your own tool kit. The sky's the limit with your career potential within the Trivett group we can offer a variety of career opportunities beyond your apprenticeship. You receive a nationally recognised trade. Market leading retailer with premium, prestige and super luxury automotive brands Above market rate pay available Large dealer and service network with career development available Gain the experience of working within a dealership, whist attaining a nationally recognised qualification in Certificate III in Light Vehicle Mechanical Technology. Click on the apply now button to avoid missing out on this great opportunity! We are looking for candidates whom: Have a passion for all things cars or part sales. Have completed year 10 at school. Are motivated and have a positive can-do attitude. Are committed and willing to learn including attending training. Demonstrate care and attention to detail. Good communication and numeracy skills. Can work well within large teams and follow processes and instructions. Are committed to a career within Automotive. Are punctual and reliable. Are able to work Monday to Friday. Can work in a safe manner. It's preferred that you hold a current drivers licence (min provisional licence).;First Year Apprentice Technician - North Shore
1049;Perth;Sales;"The Company Robert Half once again was named first in our industry on FortuneÂ® magazineâ€™s list of â€œWorldâ€™s Most Admired Companiesâ€ in March 2017, and itâ€™s not hard to see why. With a specialized focus in Finance & Accounting, Technology and Office Administration in the Perth branch, our consultants excel in finding a fit that makes employees happier and companies better. Consistently investing in technology, itâ€™s not just about boosting our productivity, but more importantly giving clients and job seekers the global, mobile access to our services they expect. The Role Whether you have 10 yearsâ€™ experience or are completely green, Robert Half will provide you with the tools to cement your brand and be highly successful. Key duties will include; Building solid and long lasting relationships with hiring managers throughout Perth, to understand weaknesses and areas of opportunities in departments and be able to offer resources and solutions to best match the culture Learning the employment market in Australia and being able to gauge industry growth and consult with your client base and candidates on market trends Development of strategies and thinking outside of the box recruit the highest calibre of candidates You will educate and offer support & coaching to candidates to ensure expectations are set, communication is clear so they have the highest chance of landing that dream job! Your profile To be successful in this position, you will be a driven and adaptable professional who has a flair for entrepreneurship Working ethically and with a high level of integrity will get you extremely far in this industry and ensure you are well respected by your peers, clients and candidates. Naturally, you will be able to build rapport with ease, have strong time management skills, and to be highly successful, have the ability to plan! While we work hard, we always find the time to celebrate individual, team and branch successes in our high-performing sales culture. Apply Today Please send your resume by clicking on the apply button or for further information, contact Chantel Skene in our Perth office on 08 6430 6810.";Recruitment Consultant 
1050;Sydney;Engineering;ABOUT THE COMPANY. This respected mechanical contractor is one whichÂ has been on a strong pattern of growth over recent years. This is due to a strong management team and a Construction division who continue to win repeat work from leading builders. Their excellent reputation has afforded them with a steady project pipeline including a range of commercial, retail and health developments. ABOUT THE ROLE.Â  As a Senior Project Engineer within the team, you will be involved designing HVAC systems. Working on large projects, you will collaborate with highly skilled and down to earth Engineering colleagues. You will alsoÂ  work closely alongside Project Managers on site, offering your expertise throughout all stages of construction. You will work on a range of commercial, retail, and health projects valued from $10million upwards. DUTIES. Design and documentation of commercial HVAC systemsÂ  Liaise and communicate with Clients and other disciplines Collaborate with Project Managers and Site Managers on siteÂ  Assist the Engineering Manager in guiding Junior Engineers within the teamÂ  SKILLS & EXPERIENCES. Degree relevant to Mechanical Engineering Previous experience working for a HVAC contractor is essentialÂ  Strong design background with proficiency in CAMEL Previous delivery of projects valued from $10mÂ  Current driver's licenceÂ  CULTURE. Employees within this company describe the team culture as highly supportive and collaborative. With a focus on staff development and recognition, the firm has managed to achieve a high staff retention rate.Â  BENEFITS. Competitive salary package negotiable on experienceÂ  Ongoing salary reviews Responsibilities to be tailored to you HOW TO APPLY. Â  Click 'Apply for this job', or contactÂ Lisa IoseÂ onÂ (02) 9231 4999Â for a confidential discussion.;Senior Project Engineer
1051;Gosford & Central Coast;Real Estate & Property;Work with One of the Most Respected Network Groups in Australia Exciting & Challenging Position with Diversity & Opportunity Previous Experience in the Real Estate Industry Preferred Â  First National Real Estate is Australia's most advanced independent real estate network with over 400 offices throughout Australia. We are focused on delivering the best results for our clients and building relationships based on strong honest foundations. An exciting opportunity exists to join our highly experienced Coastwide First National team. We are seeking a full timeÂ Sales Representative to commenceÂ ASAP.Â  You will have the ability to proactively schedule and organise meetings and appointments, think on your feet, and have the ability to work effectively both in the field and in a team environment. As part of a nationally recognised brand, First National CoastwideÂ is committed to providing you with ongoing training and support. Duties and Responsibilities â€¢ Cold calling, Prospecting, door knocking, pamphlet delivery â€¢ Data base management â€¢ Appraisals & appointments â€“ booking, managing, attending â€¢ Client Care â€“ actively maintain and creating strong client relationship through attending to their needs with efficiency, accuracy and lightning speed. Open homes support, including placement of sign boards, and accurately recording buyer feedback Prepare contracts of sale. Prepare correspondence with sellers or buyers Assist with auctions of real propertyÂ to the extent permitted under real estate law. Organise advertising for properties for sale. Sale process follow up activities including building and pest inspectionsÂ and progress of the conveyance process Skills and Experience â€¢ Must have a current Real Estate Certificate of Registration & driver's license Customer Service focus Ability to deal with difficult people â€¢ Immaculately presented and well groomed â€¢ Excellent communication skills both written and verbal â€¢ Possess a strong work ethic â€¢ Want a long term career in real estate Â  To apply, send your resume to: Attention: Adrian Simpson, adrian@coastwidefn.com.auÂ or call 0425 251 888Â for a confidential discussion.;Real Estate Sales
1052;Melbourne;Information & Communication Technology;1 Year fixed-term position based in East Melbourne Catholic Education Melbourne (CEM) is a dynamic education service provider to 331 Catholic schools in the Archdiocese of Melbourne. More than 450 staff work across four regional offices and in its central office in East Melbourne. Catholic Education Melbourne offers flexible working arrangements, generous salary and conditions, and the opportunity to enhance the education of more than 140,000 students. This community is committed to the safety, wellbeing and protection of all children in our care. ABOUT THE POSITION The Integrated Catholic Online Network (ICON) project will provide a common technology platform for teaching, learning and school administration for Catholic schools in Victoria. This includes the consolidation and centralisation of critical systems for finance, HR, payroll, CRM, identity and integration. As part of the ICON team, you will work collaboratively with Catholic Education Melbourne staff to provide functional and technical expertise in building, testing, support and implementation of integration within ICON. HOW TO APPLY Click this link for further information about the position including a detailed position description and application requirements. All CEM vacancies can be accessed via the Job Search tab on the CEM website at www.cem.edu.au and selecting â€˜Catholic Education Staffâ€™ under the â€˜Filter by Roleâ€™ field. Applicants need to provide: a separate statement addressing the Key Selection Criteria a Cover Letter and an up to date Curriculum Vitae including contact details of two referees (can be disclosed at a later stage) Applications can be uploaded via the â€˜Applyâ€™ tab on the CEM website. All enquiries can be directed to the Recruitment Officer at recruitment@cem.edu.au or (03) 9267 0228 Applications close:Â  4pm Monday, 30 April 2018;Functional Consultant, Integration
